"Participant.Public.ID","Participant.Private.ID","country","MT","GMS","MS","EE","MR","SM","SR","BMRQ","gender","age"
"00ozrxkb","10615428","chinese",18,68,14,16,13,16,13,72,"1",21
"01ngy9k2","10782624","chinese",11,61,16,16,14,17,16,79,"2",23
"01sybimu","10523371","denmark",37,90,12,15,18,17,18,80,"2",24
"05xrj0yw","10484018","denmark",8,48,13,20,13,12,12,70,"2",24
"086y0853","10615410","chinese",12,54,17,18,13,19,19,86,"2",22
"0rj5b2ip","10615301","chinese",29,109,18,20,18,20,20,96,"2",23
"0wczf4yw","10419061","denmark",23,91,18,19,20,18,19,94,"2",21
"12w4b7xr","10747920","chinese",27,110,19,15,19,19,20,92,"2",22
"130mtdx5","10749093","chinese",23,81,17,19,14,18,17,85,"2",20
"1stccggy","10389972","denmark",8,63,18,17,18,19,16,88,"2",21
"22s25t0u","10693500","denmark",33,72,15,16,16,12,12,71,"1",25
"248x4tej","10615516","chinese",31,85,18,18,16,17,15,84,"1",24
"29v1q34h","10747783","chinese",29,86,17,19,17,20,18,91,"2",20
"2ffbv0lp","10757407","chinese",31,103,20,19,16,17,18,90,"1",28
"2k2t1xaw","10755906","chinese",28,87,18,17,17,19,18,89,"1",21
"2l0uqiz5","10679119","chinese",34,100,18,18,15,17,17,85,"1",20
"2lvhod2s","10665766","denmark",7,75,17,20,18,19,16,90,"2",24
"2qfqx5ns","10612173","denmark",11,69,11,17,20,19,17,84,"2",25
"2y1ghdyb","10551166","denmark",24,56,16,18,20,17,12,83,"2",26
"3ebpayor","10517382","denmark",47,117,19,15,19,17,15,85,"2",18
"3gyrja1q","10748379","chinese",27,104,19,18,18,19,20,94,"1",22
"3nion908","10615496","chinese",33,104,20,19,20,18,16,93,"2",24
"3vgzsb84","10621131","chinese",16,88,17,19,16,18,18,88,"1",20
"48gjzt2y","10454594","denmark",16,72,11,16,18,18,14,77,"1",23
"48uynabp","10615324","chinese",17,60,13,18,16,17,16,80,"2",19
"4omjmnly","10650496","denmark",10,30,8,16,17,15,11,67,"2",24
"4uzwt11f","10747804","chinese",23,81,18,19,18,17,18,90,"1",21
"56ob2dop","10756680","chinese",15,82,17,18,17,18,18,88,"1",22
"5diapoj8","10519261","denmark",27,92,19,17,17,20,16,89,"2",21
"5fcrybra","10437313","denmark",11,45,14,19,19,20,15,87,"2",24
"5gnis5rm","10695598","denmark",23,84,14,18,20,18,16,86,"2",22
"5or72we9","10758999","chinese",14,60,18,18,19,15,14,84,"1",23
"5p9aw3vz","10615285","chinese",8,42,17,20,20,18,18,93,"1",24
"5zt3znaj","10618165","chinese",22,86,16,19,17,17,17,86,"1",22
"60v9i74x","10620924","chinese",16,55,16,17,16,18,16,83,"2",21
"62u69ewj","10615414","chinese",26,83,18,17,15,16,18,84,"1",22
"6daw4r1k","10560563","denmark",28,90,14,17,18,16,17,82,"2",24
"6ofjc38g","10697798","denmark",39,94,18,17,19,19,18,91,"2",24
"6t81lwtr","10623357","denmark",23,66,12,15,19,18,13,77,"2",28
"6tzheimb","10785316","chinese",19,67,18,20,20,20,18,96,"2",22
"6vgyw3h1","10441741","denmark",21,59,6,16,13,15,15,65,"1",27
"6whrn8f3","10696592","denmark",10,40,10,17,19,9,13,68,"2",26
"6xynbgdz","10615353","chinese",26,60,17,19,14,17,14,81,"2",20
"769u5i3c","10615334","chinese",19,87,19,19,18,19,18,93,"1",23
"79snlakt","10617959","denmark",11,40,12,16,12,17,18,75,"2",25
"7be6vbk0","10445460","denmark",45,122,18,17,14,19,20,88,"2",23
"7h26xs6k","10615385","chinese",23,65,13,20,15,18,16,82,"2",29
"7t5v3pfn","10695883","denmark",12,64,10,16,13,17,15,71,"1",26
"7uqh2euh","10620334","chinese",7,39,15,19,14,17,13,78,"1",20
"87a1c3k0","10693419","denmark",32,86,14,19,18,16,19,86,"1",26
"8926ifzd","10756657","chinese",32,101,16,18,18,17,18,87,"2",21
"8brt3ssk","10771400","chinese",27,83,16,17,16,18,16,83,"2",21
"8endlhs6","10748652","chinese",9,56,17,17,17,20,18,89,"1",25
"8kmhrvqz","10615364","chinese",27,82,17,19,17,18,19,90,"1",22
"8ou0ar59","10495734","denmark",9,34,4,13,13,10,11,51,"2",25
"8ru3x1f0","10620173","chinese",13,52,13,17,10,17,14,71,"1",25
"909fcxf9","10620820","chinese",28,92,18,20,17,17,20,92,"1",23
"96cmn76k","10616188","chinese",11,57,16,20,20,20,15,91,"2",22
"9crmlvyo","10293557","denmark",11,34,6,16,15,10,13,60,"1",24
"9cu267ky","10579276","denmark",7,45,13,17,20,17,15,82,"1",26
"9dz5gu40","10615358","chinese",7,46,18,20,14,18,19,89,"1",25
"9fq6x0xf","10289714","denmark",7,28,11,15,17,17,13,73,"2",24
"9gm2ndnm","10738951","chinese",11,67,17,19,19,19,17,91,"1",20
"9kvxsqbl","10581003","denmark",41,106,16,15,19,16,17,83,"1",29
"9mkg6qyf","10301704","denmark",7,22,7,7,8,19,6,47,"2",25
"9mzc19ng","10745134","chinese",33,93,18,19,18,15,16,86,"2",23
"am9o7yjc","10634973","denmark",13,41,13,18,8,16,19,74,"1",23
"avyw1u3x","10697471","denmark",16,76,13,16,16,18,15,78,"1",23
"ayzcye5a","10615381","chinese",13,70,15,16,16,17,16,80,"2",19
"ayzltz4j","10748544","chinese",27,87,18,19,17,17,18,89,"1",21
"b2pdb80h","10608763","denmark",18,74,8,17,13,20,16,74,"2",23
"b5o609nw","10621206","chinese",24,71,16,18,17,18,16,85,"1",20
"be4mw42h","10436128","denmark",29,67,17,19,16,19,19,90,"2",30
"beh78otz","10775055","chinese",32,111,19,20,20,18,19,96,"2",24
"bgrokfi7","10615319","chinese",16,50,13,16,15,18,14,76,"1",24
"brbia97p","10389676","denmark",20,51,7,16,14,12,14,63,"1",23
"byqbbnza","10615338","chinese",19,62,18,18,16,15,16,83,"2",24
"bzdu2xjb","10615337","chinese",32,93,17,20,17,18,16,88,"1",22
"c9nswen7","10610624","chinese",23,90,20,18,16,20,20,94,"2",22
"chbcgzcr","10710769","denmark",8,45,14,20,16,15,13,78,"2",25
"co4fiw6q","10522963","denmark",31,51,4,14,11,15,10,54,"2",27
"cteqcliz","10615469","chinese",13,53,18,17,18,19,18,90,"2",21
"cxl243wk","10520254","denmark",15,55,15,18,16,18,12,79,"2",22
"d0kkqzxx","10436316","denmark",10,51,11,18,19,20,15,83,"2",27
"d3fl2e9v","10756687","chinese",25,86,16,18,14,18,17,83,"2",22
"d3yvpr5f","10693537","denmark",28,89,13,16,14,17,16,76,"1",23
"dh3skqt5","10615433","chinese",13,44,19,18,17,19,17,90,"1",20
"dksjjsxo","10615347","chinese",31,111,14,19,18,20,14,85,"1",22
"duc9z8os","10368928","denmark",15,72,9,18,12,14,17,70,"1",25
"dv9y19yj","10615442","chinese",8,56,16,17,18,16,17,84,"2",32
"enbb2c1s","10756682","chinese",27,81,18,19,19,20,18,94,"1",22
"eobj3i6a","10614681","chinese",8,65,13,16,18,17,14,78,"1",28
"ewvs2q5j","10617408","chinese",14,71,17,18,14,18,18,85,"2",21
"f2fjrd2u","10757224","chinese",20,100,20,20,14,20,20,94,"1",20
"flg5dksq","10678657","chinese",33,87,13,16,14,13,15,71,"1",21
"fm24ttai","10298410","denmark",21,84,17,16,18,13,15,79,"2",25
"g75gt91l","10756688","chinese",45,113,18,17,18,19,18,90,"1",28
"ga116oag","10382210","denmark",7,33,15,20,20,16,16,87,"2",23
"ga50k9x9","10620816","chinese",32,94,17,16,19,17,19,88,"1",20
"gczc4xz3","10615370","chinese",18,72,18,19,16,18,14,85,"2",23
"ggdsmg6z","10608551","denmark",10,56,16,19,19,18,14,86,"2",21
"gjp1llm5","10620269","chinese",14,58,18,18,16,17,18,87,"1",22
"gpu48luv","10615412","chinese",21,80,20,18,15,17,18,88,"1",21
"gwyxdf19","10620115","chinese",7,39,18,18,19,18,17,90,"2",23
"h09bd6kp","10518835","denmark",30,97,15,18,20,18,18,89,"2",21
"h4duc36w","10615340","chinese",14,49,17,17,18,17,18,87,"1",21
"h9qq69vv","10362265","denmark",17,89,17,20,18,17,16,88,"2",21
"he6natzz","10615520","chinese",13,73,16,17,17,18,15,83,"1",19
"hz1y5cvn","10620969","chinese",11,57,13,17,12,14,18,74,"1",28
"hz42392e","10748337","chinese",33,98,16,18,18,17,19,88,"1",21
"hz80n8va","10419634","denmark",11,41,14,18,16,18,14,80,"2",24
"i0wjz0ig","10581798","denmark",22,95,15,18,16,17,19,85,"1",23
"i1tgubi1","10620810","chinese",25,86,19,18,17,19,18,91,"1",28
"i5bmhow7","10747958","chinese",14,64,19,17,18,17,17,88,"2",20
"ibnzywow","10615435","chinese",26,82,19,20,19,16,19,93,"2",23
"iei7ln9k","10615346","chinese",28,82,17,20,15,16,15,83,"2",19
"igqh0uqr","10694272","denmark",29,89,16,20,19,19,18,92,"2",26
"isfhkzrg","10615343","chinese",24,86,18,19,17,18,16,88,"2",22
"iuv6lvnc","10615318","chinese",26,93,17,18,17,18,18,88,"2",19
"iy7wjfov","10494598","denmark",39,91,14,19,14,19,17,83,"2",20
"j4q0majr","10747871","chinese",15,53,19,19,16,18,17,89,"1",21
"j5srbhnw","10441447","denmark",30,99,16,18,18,13,18,83,"1",22
"jbwkllmq","10621399","chinese",19,82,15,17,17,16,17,82,"2",20
"jck7wq2i","10615369","chinese",18,84,17,20,18,18,17,90,"2",23
"jhn7bb1x","10771729","chinese",36,104,20,20,19,17,18,94,"2",23
"jia1mktr","10608532","denmark",18,74,11,20,20,20,16,87,"1",29
"juyr2avk","10504964","denmark",32,96,16,18,16,12,19,81,"2",25
"k44mtv2k","10615345","chinese",19,82,18,16,13,19,16,82,"1",20
"k4v0n0wf","10614890","denmark",20,55,7,13,15,14,16,65,"2",28
"k5zwuk9y","10518603","denmark",28,74,11,19,14,15,17,76,"2",27
"k7wgrjeg","10377029","denmark",7,64,16,17,19,18,15,85,"2",24
"kgfoxuva","10615333","chinese",28,79,16,20,18,17,16,87,"1",22
"ki5bwplr","10747761","chinese",16,76,18,19,17,17,16,87,"2",22
"ko2mar6u","10437502","denmark",19,72,13,19,19,16,18,85,"2",25
"kr0a59mn","10290485","denmark",15,69,13,19,19,20,14,85,"1",29
"kwizcctd","10747758","chinese",21,83,18,20,17,20,19,94,"1",23
"kxnqr2ih","10745225","chinese",32,93,17,19,19,19,18,92,"2",25
"l1gkd6m1","10616142","chinese",30,96,12,17,20,19,20,88,"2",18
"l2t1cgro","10693342","denmark",35,92,12,17,18,12,16,75,"1",19
"l7hruau2","10745066","chinese",28,87,17,19,19,16,19,90,"2",24
"laqtceow","10542682","denmark",11,51,13,16,18,17,15,79,"1",29
"lq3lemm8","10518772","denmark",28,75,12,13,14,12,13,64,"1",20
"lrvtyvqg","10704651","denmark",7,60,14,18,16,17,15,80,"1",21
"mazc46pj","10523219","denmark",7,33,12,16,9,19,12,68,"1",30
"mctgva09","10436052","denmark",41,110,20,20,20,19,20,99,"2",24
"mkf2au6n","10748410","chinese",34,97,19,18,17,17,16,87,"1",21
"mku0ap8q","10757060","chinese",22,90,18,17,17,20,18,90,"2",20
"n9rmc9nk","10365100","denmark",24,72,10,16,16,15,17,74,"1",36
"newsk0qj","10615298","chinese",13,53,14,17,17,16,14,78,"2",23
"ns18an7k","10615389","chinese",33,101,17,17,18,20,17,89,"2",30
"nt8fl9p2","10436308","denmark",42,112,19,20,20,19,18,96,"1",32
"nvfrnxvp","10438250","denmark",37,90,15,16,16,17,16,80,"1",25
"o00n09ra","10747854","chinese",16,83,17,19,17,20,17,90,"2",20
"o0dyu6gp","10620353","chinese",12,78,19,17,13,15,14,78,"1",22
"oblic9fw","10437954","denmark",17,77,16,19,18,17,14,84,"2",23
"odrzpohp","10439619","denmark",18,47,10,17,12,11,11,61,"2",19
"orulc1bi","10621140","chinese",27,79,18,20,18,19,16,91,"1",21
"ovmnpl9p","10794601","chinese",16,42,19,19,14,19,17,88,"2",22
"owpjfn72","10345833","denmark",8,38,11,17,13,18,10,69,"1",30
"p455rgb0","10679132","chinese",32,96,19,17,14,20,16,86,"2",20
"p4fepdj0","10689003","denmark",13,73,13,16,16,19,17,81,"2",23
"pfpjv0dg","10620383","chinese",10,68,17,18,12,16,16,79,"1",23
"ph77cheh","10620384","chinese",29,100,17,19,19,19,16,90,"1",25
"pjfrae87","10377737","denmark",14,42,13,19,17,17,13,79,"2",27
"pkypstmb","10292493","denmark",13,42,13,16,17,16,14,76,"2",24
"q17cpkp1","10623958","denmark",47,111,17,20,19,18,19,93,"1",25
"q750q9qh","10701268","denmark",21,74,14,18,16,14,16,78,"2",22
"qcbzcdtz","10495515","denmark",32,87,15,20,20,20,20,95,"2",20
"qu52ot0x","10610380","denmark",13,52,10,15,15,13,16,69,"1",39
"qxhhsyze","10757193","chinese",20,91,19,20,17,19,18,93,"1",22
"qyt42jh8","10620789","chinese",12,56,17,19,17,19,16,88,"2",30
"r10r5355","10756100","chinese",27,83,18,16,18,20,18,90,"1",20
"r6afv8e6","10391317","denmark",7,41,7,11,11,16,10,55,"1",31
"r6o4dcaq","10446320","denmark",21,79,13,17,11,17,16,74,"2",21
"r6yvjtr3","10693773","chinese",27,95,19,17,17,17,19,89,"1",21
"rc07cfr4","10615377","chinese",31,104,18,20,19,18,19,94,"2",21
"rd3mxqhj","10693409","denmark",10,46,10,16,17,19,10,72,"1",24
"rdkrptvx","10748464","chinese",27,84,20,18,19,18,18,93,"2",21
"rjsmlkbp","10627726","denmark",31,102,18,20,19,20,20,97,"2",27
"ru7rgbsy","10415796","denmark",44,112,18,17,20,18,19,92,"2",23
"s2hupvg9","10747823","chinese",29,111,19,19,17,19,20,94,"1",22
"s472kaiz","10615519","chinese",28,77,14,18,15,15,17,79,"1",23
"s71qcm2l","10746379","chinese",18,74,16,19,12,18,16,81,"1",21
"scau2cfs","10615397","chinese",29,94,16,18,18,16,17,85,"1",20
"se675twb","10615467","chinese",12,57,18,20,17,16,17,88,"2",22
"sm6y0z0h","10345658","denmark",28,90,12,15,19,14,14,74,"2",26
"suxqn0mw","10695583","denmark",22,66,12,18,19,17,15,81,"2",23
"t5zn7nvd","10747836","chinese",24,84,17,18,18,18,17,88,"2",20
"t7zj7gx3","10745076","chinese",24,73,16,18,17,19,16,86,"1",22
"u38i920s","10620266","chinese",15,76,19,20,15,19,18,91,"1",22
"ufr6k3bs","10696875","denmark",21,36,12,15,9,8,9,53,"1",26
"utfhovs3","10555623","denmark",24,81,18,20,15,19,20,92,"1",35
"uufxunjt","10519926","denmark",18,44,12,16,17,18,15,78,"2",22
"ux7600ha","10756109","chinese",28,84,17,18,19,18,17,89,"1",21
"v007mc3w","10745355","chinese",22,77,16,17,17,17,16,83,"1",25
"v4uvyfek","10484589","denmark",7,30,10,11,10,18,12,61,"2",28
"vivk94td","10615476","chinese",25,77,16,16,12,17,16,77,"1",23
"vrcnyevd","10615499","chinese",24,88,18,18,14,19,18,87,"1",22
"vv4byzxd","10470638","denmark",23,95,19,20,19,20,19,97,"2",24
"vvgo2x9d","10615362","chinese",23,83,18,20,15,15,18,86,"1",22
"vzz3hq5o","10745009","chinese",25,80,17,19,16,17,19,88,"1",23
"vzz8ac56","10748656","chinese",15,73,16,18,18,17,18,87,"2",21
"w7lg2t60","10755904","chinese",27,85,18,19,17,17,16,87,"1",21
"w86hqr6l","10327289","denmark",7,45,15,15,16,19,14,79,"1",21
"wat3eo5h","10435897","denmark",8,37,13,16,14,13,17,73,"1",26
"wbhsi6qp","10495811","denmark",35,93,13,17,12,14,15,71,"2",22
"wbycc0x3","10322714","denmark",33,70,4,13,15,12,8,52,"2",28
"wedir472","10615312","chinese",23,81,17,16,18,17,16,84,"2",20
"wlzm73xh","10748267","chinese",13,66,17,18,18,18,17,88,"2",23
"wn2ms4r3","10289423","denmark",42,97,15,18,17,17,17,84,"2",22
"wnj6of55","10756672","chinese",24,90,19,20,16,19,18,92,"1",22
"x6qflhsm","10615390","chinese",35,101,16,18,19,20,20,93,"1",20
"xf4x8838","10615457","chinese",23,87,18,19,17,16,16,86,"1",21
"xfohvwc2","10615445","chinese",31,106,17,17,19,19,19,91,"1",22
"xuhhp9e2","10353631","denmark",22,86,16,16,17,16,19,84,"2",27
"y1eypor8","10615425","chinese",15,65,14,18,19,19,16,86,"1",25
"y69w3ntn","10694443","denmark",7,42,12,16,17,15,14,74,"2",33
"y6hj6rd1","10755905","chinese",27,86,18,18,17,19,18,90,"1",20
"yf4nzz0b","10615506","chinese",26,76,15,17,16,17,16,81,"1",25
"yfuvyjfn","10698703","denmark",39,100,17,13,19,18,14,81,"2",28
"yvmxbd8a","10615373","chinese",35,102,19,20,20,20,19,98,"1",21
"zlm7ezbc","10635092","denmark",12,69,16,20,18,20,15,89,"2",25
"zurc09zq","10615464","chinese",15,59,15,19,16,19,18,87,"1",19
